best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
001, 3153.46, 100.00, 2200.70, 100.00, 2200.70, 100.00
001, 2896.50, 100.00, 2140.52, 100.00, 2140.52, 100.00
099, 54.68, 100.00, 54.68, 100.00, 54.68, 100.00
002, 36.34, 100.00, 28.51, 100.00, 28.51, 100.00
096, 22.38, 100.00, 22.28, 100.00, 22.28, 100.00
010, 4.02, 100.00, 3.98, 100.00, 3.98, 100.00
001, 6.17, 100.00, 4.48, 100.00, 4.48, 100.00
001, 5.86, 100.00, 4.40, 100.00, 4.40, 100.00
003, 84.39, 100.00, 79.35, 100.00, 79.35, 100.00
003, 10.23, 100.00, 9.85, 100.00, 9.85, 100.00
003, 23.10, 100.00, 20.54, 100.00, 20.54, 100.00
003, 24.51, 100.00, 21.92, 100.00, 21.92, 100.00
003, 85.28, 100.00, 80.17, 100.00, 80.17, 100.00
011, 10.12, 100.00, 9.96, 100.00, 9.96, 100.00
010, 55.21, 100.00, 54.57, 100.00, 54.57, 100.00
010, 26.01, 100.00, 25.65, 100.00, 25.65, 100.00
005, 9.01, 100.00, 8.88, 100.00, 8.88, 100.00
010, 14.13, 100.00, 14.02, 100.00, 14.02, 100.00
013, 12.84, 100.00, 12.77, 100.00, 12.77, 100.00
006, 7.28, 100.00, 7.32, 100.00, 7.32, 100.00
010, 9.22, 100.00, 9.08, 100.00, 9.08, 100.00
011, 7.54, 100.00, 7.30, 100.00, 7.30, 100.00
015, 10.78, 100.00, 10.81, 100.00, 10.81, 100.00
006, 12.41, 100.00, 11.86, 100.00, 11.86, 100.00
006, 13.60, 100.00, 13.38, 100.00, 13.38, 100.00
008, 3.68, 100.00, 3.65, 100.00, 3.65, 100.00
010, 14.23, 100.00, 13.82, 100.00, 13.82, 100.00
010, 54.66, 100.00, 54.48, 100.00, 54.48, 100.00
006, 8.29, 100.00, 8.10, 100.00, 8.10, 100.00
018, 4.00, 100.00, 4.00, 100.00, 4.00, 100.00
016, 4.77, 100.00, 4.69, 100.00, 4.69, 100.00
005, 9.30, 100.00, 8.80, 100.00, 8.80, 100.00
010, 44.58, 100.00, 44.20, 100.00, 44.20, 100.00
010, 17.20, 100.00, 16.91, 100.00, 16.91, 100.00
022, 7.84, 100.00, 7.73, 100.00, 7.73, 100.00
009, 32.57, 100.00, 32.47, 100.00, 32.47, 100.00
010, 18.36, 100.00, 18.06, 100.00, 18.06, 100.00
010, 48.05, 100.00, 47.36, 100.00, 47.36, 100.00
010, 46.51, 100.00, 45.96, 100.00, 45.96, 100.00
010, 16.89, 100.00, 16.68, 100.00, 16.68, 100.00
010, 37.80, 100.00, 37.41, 100.00, 37.41, 100.00
010, 8.95, 100.00, 8.95, 100.00, 8.95, 100.00
010, 22.03, 100.00, 21.87, 100.00, 21.87, 100.00
010, 17.78, 100.00, 17.68, 100.00, 17.68, 100.00
